text,label
He was happy feeling the gentle pulling and then he felt something hard and unbelievably heavy.,positive
But I was more intelligent that he was.,positive
"Now you are getting confused in the head, he thought.",negative
"I mistvivl, angst, smerte;",negative
"Beklemt og lider ilde,",negative
"But he was such a calm, strong fish and he seemed so fearless and so confident.",positive
"He loved green turtles and hawks-bills with their elegance and speed and their great value and he had a friendly contempt for the huge, stupid loggerheads, yellow in their armour-plating, strange in their love-making, and happily eating the Portuguese men-of-war with their eyes shut.",positive
Hvor? Ak hvor er hjælp at finde?,negative
:: Er kærlighed!::,positive
"Oplys dem med din lampe klar,",positive
Everything about him was old except his eyes and they were the same color as the sea and were cheerful and undefeated.,positive
Forkynde højt din nådes pris,positive
I am terrified by this dark thing,negative
But now they were freshening as when the breeze rises.,positive
"De red gennem de duftende skove, hvor de grønne grene slog hende på skulderen og de små fugle sang bag friske blade.",positive
"Each dead child coiled, a white serpent,",negative
"Syng mig en dejlig morgensang,",positive
His mouth was too dry to speak but he could not reach for the water now.,negative
"Now they have beaten me, he thought.",negative
"Rundt om ager og eng var der store skove, og midt i skovene dybe søer; jo, der var rigtignok dejligt derude på landet!",positive
I am sorry that I went too far out.,negative
"I've killed one man, I've killed two—",negative
"Efter denne søde stund,",positive
"Til smerte, sport og spe!",negative
"Dame Kindness, she is so nice!",positive
Til mit beklemte hjerte.,negative
"Da klinger det sødt i højen sky,",positive
"At lide dødens ve og skam,",negative
And the villagers never liked you.,negative
"Jeg elsker, beder, håber, tror",positive
"I am so stupidly happy,",positive
Et paradis foruden klipper.,positive
"""Thank you.",positive
His hope and his confidence had never gone.,positive
The horrific complications.,negative
"""Fish,"" he said, ""I love you and respect you very much.",positive
"""Ja det er en stor fornøjelse!""",positive
Om min lykke skrider brat,negative
Selv dyret sig glæder ved høstlivets lyst,positive
"og moderen sagde: ""Gid du bare var langt borte!""",negative
i så utrolig himmelglans.,positive
"""Your stew is excellent,"" the old man said.",positive
:: Er kærlighed!::,positive
He knew he was beaten now finally and without remedy and he went back to the stern and found the jagged end of the tiller would fit in the slot of the rudder well enough for him to steer.,negative
Tidt min ånd sig lod forvilde,negative
"Det var den sidste nat, hun åndede den samme luft som han, så det dybe hav og den stjerneblå himmel, en evig nat uden tanke og drøm ventede hende, som ej havde sjæl, ej kunne vinde den.",negative
He swung at him and hit only the head and the shark looked at him and wrenched the meat loose.,negative
"""Oh jeg er alt for lykkelig!""",positive
"Hun så, hvor havens frugter modnedes og blev afplukket, hun så, hvor sneen smeltede på de høje bjerge, men prinsen så hun ikke, og derfor vendte hun altid endnu mere bedrøvet hjem.",negative
"Trygt i dit navn, glider min stav,",positive
Bed is my friend.,positive
"Og takker dig, af hjertet inderlig",positive
Mishag og strid har hver timelig stund.,negative
Hun går i brudeklæder,positive
"Til liv og sjæl, du min Immanuel!",positive
KINDNESS,positive
"He was sorry for the birds, especially the small delicate dark terns that were always flying and looking and almost never finding, and he thought, ""The birds have a harder life than we do except for the robber birds and the heavy strong ones.",negative
"Om nogle minutter stiger solen, og da må du dø!""",negative
"med livets brudekrans,",positive
"Du min sjæletrøst og ro,",positive
"Til glæden lovsang blive,",positive
Evigheds halleluja!,positive
"Fare al min glæde hen,",negative
"""He was a great manager,"" the boy said.",positive
"Stå med dybe savn igen,",negative
"Body wears the smile of accomplishment,",positive
"That kill, that kill, that kill.",negative
"Fremskinner, i hellige dyder!",positive
"The world will go up in a shriek, and your head with it,",negative
But what a great fish he is and what he will bring in the market if the flesh is good.,positive
Evigheds halleluja!,positive
"Oh, det ville blive et skrækkeligt vejr!",negative
"Gothic and barbarous, pure German.",negative
And I a smiling woman. I am only thirty.,positive
"That is what kills the eyes.""",negative
"Lyset i sandhed, omrejser vor jord,",positive
Fred har i al evighed.,positive
"Den stakkels ælling blev jaget af dem alle sammen, selv hans søskende var så onde imod ham, og de sagde altid: ""Bare katten ville tage dig, dit fæle spektakel!""",negative
"Den lærde mand fra de kolde lande, det var en ung mand, en klog mand, han syntes, han sad i en gloende ovn; det tog på ham, han blev ganske mager, selv hans skygge krøb ind, den blev meget mindre end hjemme, solen tog også på den.",negative
"den straf, som på dig lå.",negative
"You're stupid, he told himself.",negative
But his pain could drive him mad.,negative
"I kummer og i usselhed,",negative
Engraving itself in silver with marvelous calm.,positive
"Som forblinder øje,",negative
Dog er alt såre prægtigt;,positive
"For mig du hånd og martyr led,",negative
"Da løb og fløj han hen over hegnet; de små fugle i buskene fór forskrækket i vejret; ""det er fordi jeg er så styg,"" tænkte ællingen og lukkede øjnene, men løb alligevel af sted; så kom den ud i den store mose, hvor vildænderne boede.",negative
Som så dybt mig trykker ned?,negative
"De store ravvinduer blev lukket op, og så svømmede fiskene ind til dem, ligesom hos os svalerne flyver ind, når vi lukker op, men fiskene svømmede lige hen til de små prinsesser, spiste af deres hånd og lod sig klappe.",positive
"Endnu samme aften gik brud og brudgom ombord på skibet, kanonerne lød, alle flagene vajede, og midt på skibet var rejst et kosteligt telt af guld og purpur og med de dejligste hynder, der skulle brudeparret sove i den stille, kølige nat.",positive
I Paradis derhjemme!,positive
"The tulips are too red in the first place, they hurt me.",negative
"""You give me much good counsel,"" he said aloud.",positive
At min jammer ende får?,negative
"Han os ej glemmer, når vi er grå,",positive
He could not talk to the fish anymore because the fish had been ruined too badly.,negative
og han trykkede sin rødmende brud i sine arme.,positive
"The shark let go of the fish and slid down, swallowing what he had taken as he died.",negative
Den bitre død dig trængte,negative
His back was as blue as a sword fish's and his belly was silver and his hide was smooth and handsome.,positive
"Lys og ret er al din vej,",positive
"Tumler dit sind, som et drivende vrag.",negative
Hos dig i fryd og ære.,positive
"Ingen trøst jeg fandt, ingen lindring kom",negative
"""They are good,"" he said.",positive
"I'm sorry about it, fish.",negative
"O du livsaligste Guds lam,",positive
"I himlens søde havn,",positive
"er klemt i dødsens nød,",negative
"Når søstrene således om aftnen, arm i arm, steg højt op gennem havet, da stod den lille søster ganske alene tilbage og så efter dem, og det var som om hun skulle græde, men havfruen har ingen tårer, og så lider hun meget mere.",negative
But these poisonings from the agua mala came quickly and struck like a whiplash.,negative
"tænkte hun, ""det vil være en ren velsignelse for mit folk og rige om jeg valgte ham til min gemal; jeg gør det!""",positive
I Paradiset bliver velsignelsrenes strå,positive
"De var 6 dejlige børn, men den yngste var den smukkeste af dem alle sammen, hendes hud var så klar og skær som et rosenblad, hendes øjne så blå, som den dybeste sø, men ligesom alle de andre havde hun ingen fødder, kroppen endte i en fiskehale.",positive
"At høre lyd af englefryd,",positive
The old man knew that he was dead but the shark would not accept it.,negative
"sagde ællingen, ""så dejligt at få det over hovedet og dukke ned på bunden!""",positive
"og ænderne bed ham, og hønsene huggede ham, og pigen, som skulle give dyrene æde, sparkede til ham med foden.",negative
"Endnu engang så hun med halvbrustne blik på prinsen, styrtede sig fra skibet ned i havet, og hun følte, hvor hendes legeme opløste sig i skum.",negative
The old man had taught the boy to fish and the boy loved him.,positive
"O! hvad kan den byrde lette,",negative
"""Something hurt him then,"" he said aloud and pulled back on the line to see if he could turn the fish.",negative
Med tusind skønne salmer.,positive
"dog størst bliver glæden i frelserens stad,",positive
Evigheds halleluja!,positive
"Regard me sadly, I disappoint them.",negative
"""Det bedste, det jeg aldrig turde håbe, er blevet opfyldt for mig.",positive
"Solen var lige gået ned, idet hun løftede sit hoved op over havet, men alle skyerne skinnede endnu som roser og guld, og midt i den blegrøde luft strålede aftenstjernen så klart og dejligt, luften var mild og frisk og havet blikstille.",positive
med livets brudekrans!,positive
He was a very big Mako shark built to swim as fast as the fastest fish in the sea and everything about him was beautiful except his jaws.,positive
"Hvert ægtepar, som med kærlighed",positive
"Mod aften nåede den et fattigt lille bondehus; det var så elendigt, at det ikke selv vidste til hvad side det ville falde, og så blev det stående.",negative
"Den lærde mand hørte ikke noget til alt det, for ham havde de taget livet af.",negative
"Skibe havde hun set, men langt borte, de så ud som strandmåger, de morsomme delfiner havde slået kolbøtter, og de store hvalfisk havde sprøjtet vand op af deres næsebor, så at det havde set ud, som hundrede vandspring rundt om.",positive
"A Jew to Dachau, Auschwitz, Belsen.",negative
"He is my fortune, he thought.",positive
Du vender sorg til lyst.,positive
Brydes og briste — så falder vort mod!,negative
For an hour the old man had been seeing black spots before his eyes and the sweat salted his eyes and salted the cut over his eye and on his forehead.,negative
You're good for ever.,positive
"Med Jesus, vor helt og vor herre!",positive
He looked across the sea and knew how alone he was now.,negative
"""They lost today,"" the boy told him.",negative
He did not like to look at the fish anymore since he had been mutilated.,negative
"Med livets brudekrands,",positive
Da vil du mig velsigne.,positive
Han med kraft og håb og tro,positive
"Og bærer frugt til folkegavn,",positive
Lad i gråd mig stamme ud:,negative
She is kind and very beautiful.,positive
Din vise kærlighed,positive
Once there had been a tinted photograph of his wife on the wall but he had taken it down because it made him too lonely to see it and it was on the shelf in the corner under his clean shirt.,negative
Kan se dit ansigt skønt!,positive
"Der kan hans kærlighed smage,",positive
"ham vil vi ikke tåle!""",negative
"Ulykkens dag finder dig svag,",negative
Som forårssolen morgenrød,positive
"Professorerne gjorde mig til professor, skrædderne gav mig ny klæder, jeg er godt forsynet; møntmesteren slog mønt for mig, og konerne sagde, jeg var så køn!",positive
"Vi har ingen udødelig sjæl, vi får aldrig liv mere, vi er ligesom det grønne siv, er det engang skåret over, kan det ikke grønnes igen!",negative
It is better to be lucky.,positive
"There is no translation for this word and perhaps it is just a noise such as a man might make, involuntarily, feeling the nail go through his hands and into the wood.",negative
"""If sharks come, God pity him and me.""",negative
Hans bryllupsmorgen ville jo give hende døden og forvandle hende til skum på søen.,negative
It was a great mistake.,negative
"""I didn't know sharks had such handsome, beautifully formed tails.""",positive
Cold homicides.,negative
fordømt til vredens ris,negative
"med dejlige solskinsklæder på,",positive
"""Damn my fish,"" the boy said and he started to cry again.",negative
Its bowl of red blooms out of sheer love of me.,positive
"Dejlige grønne høje med vinranker så hun, slotte og gårde tittede frem mellem prægtige skove; hun hørte, hvor alle fuglene sang og solen skinnede så varmt, at hun tit måtte dykke under vandet, for at køle sit brændende ansigt.",positive
"Med livets brudekrands,",positive
med hellighedens smykke;,positive
When the wind was in the east a smell came across the harbour from the shark factory; but today there was only the faint edge of the odour because the wind had backed into the north and then dropped off and it was pleasant and sunny on the Terrace.,positive
"Til himlen, deres rette hjem.",positive
Han hævede dig højt til ånders rang;,positive
Går med sorg og død i bryst,negative
"He is wonderful and strange and who knows how old he is, he thought.",positive
"O hoved, tornekronet",negative
"Never have I seen a greater, or more beautiful, or a calmer or more noble thing than you, brother.",positive
Evigheds halleluja!,positive
And pick the worms off me like sticky pearls.,negative
"Det er så herligt at stole på,",positive
Thi dødens og helvedes tåge,negative
"""If Durocher had continued to come here each year your father would think him the greatest manager.""",positive
"It is a blessing, it is a blessing:",positive
I de forunderligste skikkelser viste de sig og glimrede som diamanter.,positive
"""You whore.""",negative
Lysets kamp og livets sejr!,positive
"På det allerdybeste sted ligger havkongens slot, murene er af koraller og de lange spidse vinduer af det allerklareste rav, men taget er muslingeskaller, der åbner og lukker sig, eftersom vandet går; det ser dejligt ud; thi i hver ligger strålende perler, én eneste ville være stor stads i en dronnings krone.",positive
"Og skriger efter vand,",negative
"Tongues of dull, fat Cerberus",negative
– og straks fløj der en and hen og bed den i nakken.,negative
De blev så bange for mig!,negative
Den søde himmelgæst,positive
Bød og sagde: Lys! spring ud!,positive
"But after forty days without a fish the boy's parents had told him that the old man was now definitely and finally salao, which is the worst form of unlucky, and the boy had gone at their orders in another boat which caught three good fish the first week.",negative
"Søde Gud, din engleskare",positive
"Slå sammen højt til sang og fryd,",positive
"Vi har en herre, som alting mægter,",positive
Min frelser ej mig glemmer!,positive
"""Om tre hundrede år svæver vi således ind i Guds rige!""",positive
"Min Jesu, hjertensven",positive
"så ung og så dejlig!""",positive
Livets grønne træ genfundet!,positive
He woke with the jerk of his right fist coming up against his face and the line burning out through his right hand.,negative
The sin. The sin.,negative
The old man felt faint and sick and he could not see well.,negative
"Til himlen svinger sig mit hjerte,",positive
"Med synd det kor, med sorg det går;",negative
"På jorden er der rang og skam,",negative
"Pris Gud med sang, pris ham, o menneske!",positive
"""The bird is a great help,"" the old man said.",positive
"Den lille havfrue sang skønnest af dem alle, og de klappede i hænderne for hende, og et øjeblik følte hun glæde i sit hjerte, thi hun vidste, at hun havde den skønneste stemme af alle på jorden og i havet!",positive
Contemplating a world clear as water.,positive
"Søg ham, mens hjertet så lystelig banker!",positive
"Den lille havfrue drak den brændende skarpe drik, og det var, som gik et tveægget sværd igennem hendes fine legeme, hun besvimede derved og lå, som død.",negative
:: Er kærlighed!::,positive
"Choking the aged and the meek,",negative
A wind of such violence,negative
It was cold after the sun went down and the old man's sweat dried cold on his back and his arms and his old legs.,negative
To Paradise.,positive
Kindness glides about my house.,positive
og de udstødte et forunderligt dybt suk og sank i bølgerne.,negative
Now I break up in pieces that fly about like clubs.,negative
Al pine havde frist!,negative
"At du er vis, og god og stor.",positive
"som hungrer, tørster, råber:",negative
Lyset er din klædedragt;,positive
"The sail was patched with flour sacks and, furled, it looked like the flag of permanent defeat.",negative
"ungdomsliv i morgenrøden,",positive
"For ro og fred, for kærlighed",positive
Lov og tak og evig pris,positive
The hands have done their work and we sail well.,positive
Herlig er din kærlighed,positive
"Starless and fatherless, a dark water.",negative
"Formilder al vor plage,",positive
"How free it is, you have no idea how free—",positive
"Vor Jesus, vor helt og vor Herre!",positive
"The boot in the face, the brute",negative
"og havfruen sukkede dybt, græde kunne hun ikke.",negative
"Ja, dårskab trodser mod dit Ord,",negative
"Store sole snurrede rundt, prægtige ildfisk svingede sig i den blå luft, og alting skinnede tilbage fra den klare, stille sø.",positive
"Mesteren prises af hvælvingen blå,",positive
There is no help in his weeping wife.,negative
"Da så hun sine søstre stige op af havet, de var blege, som hun; deres lange smukke hår flagrede ikke længere i blæsten, det var afskåret.",negative
:: Er kærlighed!::,positive
"""Jo, du er mig kærest,"" sagde prinsen, ""thi du har det bedste hjerte af dem alle, du er mig mest hengiven, og du ligner en ung pige jeg engang så, men vistnok aldrig mere finder.",positive
Og håner kristnes vandring,negative
"He took my harpoon too and all the rope, he thought, and now my fish bleeds again and there will be others.",negative
"Mildhed, kærlighed og glæde",positive
"But a cramp, he thought of it as a calambre, humiliates oneself especially when one is alone.",negative
"Nu kom hun til en stor slimet plads i skoven, hvor store, fede vandsnoge boltrede sig og viste deres stygge hvidgule bug.",negative
At twenty I tried to die,negative
"Ja, for sejer over døden,",positive
"""Lad os være fornøjede,"" sagde den gamle, ""hoppe og springe vil vi i de tre hundrede år, vi har at leve i, det er såmænd en god tid nok, siden kan man des fornøjeligere hvile sig ud i sin grav.",positive
"Du min evigt gemte skat,",positive
for det store livsens håb,positive
DEATH & CO.,negative
"Se, din Frelser følger med,",positive
Ved livets væld af livets træ,positive
"Troen, håbet, kærligheden.",positive
"Da vågne de mildt i morgengry,",positive
vær hilset hjertelig!,positive
"Min sjæl, hvor den var mørk!",negative
Jeg arme synder træde må,negative
“A miracle!”,positive
"Og graaden, som i øjnene står!",negative
"That was the saddest thing I ever saw with them, the old man thought.",negative
"Cruelly, being barren.",negative
I am too old to club sharks to death.,negative
"Ja, han har ved sit korses blod",negative
"Er vi i hans kærlighed,",positive
Men stod herligt op af døde,positive
"Prinsen kyssede sin dejlige brud, og hun legede med hans sorte hår, og arm i arm gik de til hvile i det prægtige telt.",positive
With the O-gape of complete despair. I live here.,negative
Og stod for tronen ren og skær,positive
He did not care that they saw him crying.,negative
He still hung to the fish with his jaws hooked and the old man stabbed him in his left eye.,negative
"A kindness, kindness",positive
med højt bedrøvet hjerte,negative
med håb og mod og trøst i hver en skæbne,positive
"I det samme lo heksen så højt og fælt, at skrubtudsen og snogene faldt ned på jorden og væltede sig der.",negative
"Han eller du må dø, før sol står op!",negative
misbrugte hver min evne;,negative
"O Gud! du er vores trøst,",positive
He lifted it as lightly as he could because his hands rebelled at the pain.,negative
"A gift, a love gift",positive
"Skibsror og kister holdt de fast, skeletter af landdyr og en lille havfrue, som de havde fanget og kvalt, det var hende næsten det forskrækkeligste.",negative
It was coppery and sweet and he was afraid of it for a moment.,negative
"""You're tired inside.""",negative
How they hate you.,negative
O denne røst i hjertet gyder,positive
som fuglesagen sagte sød,positive
Are filling with smiles.,positive
He went out very quietly to go to bring some coffee and all the way down the road he was crying.,negative
There was no stringiness in it and he knew that it would bring the highest price in the market.,positive
Hans nåde rækker til tusind slægter;,positive
"Der var så dejligt ude på landet; det var sommer, kornet stod gult, havren grøn, høet var rejst i stakke nede i de grønne enge, og der gik storken på sine lange, røde ben og snakkede ægyptisk, for det sprog havde han lært af sin moder.",positive
"Du er ene nok for mig,",positive
"""Good luck old man.""",positive
I denne jammerdal.,negative
"Det var, som hendes hjerte skulle gå itu af sorg.",negative
"""Every minute now you are closer to home.",positive
He knew that half of him had been destroyed.,negative
"""There is very much slave work to be done now that the fight is over.""",negative
"""But I know many tricks and I have resolution.""",positive
love Gud med englerøst:,positive
"Og sandhed i sindet må bygge,",positive
Bad luck to your mother.,negative
But I must have confidence and I must be worthy of the great DiMaggio who does all things perfectly even with the pain of the bone spur in his heel.,positive
Infinitely delicate and infinitely expensive.,positive
O almægtig-stærke Gud!,positive
I am sick to death of hot salt.,negative
"Hun trøster alle bange,",positive
"Could it have been hunger that made him desperate, or was he frightened by something in the night?",negative
"Døden er den sidste fjende,",negative
"Jeg var på et skib, som strandede, bølgerne drev mig i land ved et helligt tempel, hvor flere unge piger gjorde tjeneste, den yngste der fandt mig ved strandbredden og reddede mit liv, jeg så hende kun to gange; hun var den eneste, jeg kunne elske i denne verden, men du ligner hende, du næsten fortrænger hendes billede i min sjæl, hun hører det hellige tempel til, og derfor har min gode lykke sendt mig dig, aldrig vil vi skilles!""",positive
hinanden kærlig møde,positive
Forløsningen har vi fundet;,positive
"Håb, glæde, mod og himmels trøst.",positive
"lød i det samme ovenover, og begge vildgasserne faldt døde ned i sivene, og vandet blev blodrødt; pif!",negative
He watched his lines to see them go straight down out of sight into the water and he was happy to see so much plankton because it meant fish.,positive
"Du vil glæde dig ved min lykke, thi du holder mest af mig blandt dem alle!""",positive
The tent of unending cries—,negative
"Ja! Du er vis og god og stor,",positive
"There is no hope, it is given up.",negative
He chewed it and noted its quality and its good taste.,positive
"Ny fryder sig hver bonde, det ganske land er glad,",positive
Sig yndefuldt nu smykket har,positive
"Jeg skal lave dig en drik, med den skal du, før sol står op, svømme til landet, sætte dig på bredden der og drikke den, da skilles din hale ad og snerper ind til hvad menneskene kalde nydelige ben, men det gør ondt, det er som det skarpe sværd gik igennem dig.",negative
But there was no way to keep its scent out of the water and the old man knew that a very bad time was coming.,negative
"Love, love,",positive
This is what it is to be complete. It is horrible.,negative
Og som til bitter hjertekval,negative
Tidt af tidt jeg syndede;,negative
Det er så yndigt at følges ad,positive
Og holde påskefest med glæde!,positive
"I himlens søde havn,",positive
So black no sky could squeak through.,negative
"""They truly beat me.""",negative
Guds underfulde gaver!,positive
"And drank my blood for a year,",negative
"Den stakkels ælling vidste hverken, hvor den turde stå eller gå, den var så bedrøvet, fordi den så så styg ud og var til spot for hele andegården.",negative
"It makes everything wrong.""",negative
med suk og sørgetone!,negative
The fish was coming in on his circle now calm and beautiful looking and only his great tail moving.,positive
"Med liv og lys kan virke,",positive
"They were hateful sharks, bad smelling, scavengers as well as killers, and when they were hungry they would bite at an oar or the rudder of a boat.",negative
"Finally his left hand found the line and he leaned back against the line and now it burned his back and his left hand, and his left hand was taking all the strain and cutting badly.",negative
I ruined us both.,negative
"Fremskinner, hvor jeg skuer hen;",positive
og al min kraft forsvinder,negative
"Gennem det klare glas i de høje vinduer så man ind i de prægtigste sale, hvor kostelige silkegardiner og tæpper var ophængte, og alle væggene pyntede med store malerier, som det ret var en fornøjelse at se på.",positive
He is my brother.,positive
"Then the fish came alive, with his death in him, and rose high out of the water showing all his great length and width and all his power and his beauty.",positive
"Med venlige øjne himmelblå,",positive
"""He is almost blind.""",negative
"Vor gamle bedstemoder sørger, så hendes hvide hår er faldet af, som vort faldt for heksens saks.",negative
Sweetly picking up pieces!,positive
Med rum til alle sjæle!,positive
"""I was lucky to get him instead of dolphin.",positive
"And I have no face, I have wanted to efface myself.",negative
"Oh her var så dejligt, så forårsfriskt!",positive
"But she can be so cruel and it comes so suddenly and such birds that fly, dipping and hunting, with their small sad voices are made too delicately for the sea.""",negative
It is a treachery of one's own body.,negative
You are terrified,negative
The other watched the old man with his slitted yellow eyes and then came in fast with his half circle of jaws wide to hit the fish where he had already been bitten.,negative
"Tomorrow I will be sweet God, I will set them free.",positive
With his mouth shut and his tail straight up and down we sail like brothers.,positive
"den tænkte på, hvor den havde været forfulgt og forhånet, og hørte nu alle sige, at den var den dejligste af alle dejlige fugle; og syrenerne bøjede sig med grenene lige ned i vandet til den, og solen skinnede så varmt og så godt, da bruste dens fjer, den slanke hals hævede sig, og af hjertet jublede den: ""Så megen lykke drømte jeg ikke om, da jeg var den grimme ælling!""",positive
